classifier,noise,accuracy,accuracy_se,precision,precision_se,recall,recall_se
logistic,0.0,0.7493333333333334,0.02148662260829075,0.7650903273390921,0.042226944665102906,0.7509605615141142,0.033381430425686316
random_forest,0.0,0.792,0.025658621769516606,0.817624918151234,0.040415927504465834,0.7828909751997245,0.0436512492071807
naive_bayes,0.0,0.7226666666666668,0.033221213035582495,0.7223846813285484,0.05568189994157796,0.7772900815399748,0.04539881966336545
lstm,0.0,0.5483870967741935,0.0,0.5555555555555556,0.0,0.625,0.0
logistic,0.1,0.7466666666666666,0.02217486865801013,0.7477622000716606,0.04342359474748037,0.77506122327328,0.029355587715546128
random_forest,0.1,0.7613333333333334,0.027019895221443373,0.778519031593486,0.0344967852902801,0.7595726734534556,0.03939684551244253
naive_bayes,0.1,0.712,0.03330334224134935,0.7082736280054707,0.05915296064496782,0.7747762652741983,0.03653638937681196
lstm,0.1,0.5645161290322581,0.0,0.5277777777777778,0.0,0.6551724137931034,0.0
logistic,0.2,0.724,0.020259654927411216,0.7310108821662095,0.041962739815778416,0.7491286239744925,0.024545211117457597
random_forest,0.2,0.7293333333333333,0.028158590873834575,0.735733217501137,0.05643231600411843,0.761362549238979,0.03307234399204914
naive_bayes,0.2,0.7026666666666668,0.03115242412540136,0.6959328911019843,0.054165403583967084,0.7780940426344186,0.03535065613362935
lstm,0.2,0.6129032258064516,0.0,0.6046511627906976,0.0,0.7878787878787878,0.0
logistic,0.3,0.7,0.022556563962132563,0.7094374121462137,0.041732328786076044,0.7311667489238484,0.04937221116704973
random_forest,0.3,0.6706666666666667,0.026663685166658166,0.6869488599935356,0.05215100955695501,0.6944523361583143,0.03730443489409931
naive_bayes,0.3,0.688,0.02343272697176607,0.6897277569965923,0.04839548451857287,0.7522238111293715,0.050028651802478355
lstm,0.3,0.3548387096774194,0.0,0.3548387096774194,0.0,0.3548387096774194,0.0
logistic,0.4,0.6639999999999999,0.020841230929737976,0.684748178338122,0.04504468130712434,0.6849625164671157,0.046500437658664746
random_forest,0.4,0.644,0.028639558035075268,0.670415303171566,0.05594549982835078,0.6382511631196149,0.04644470358667368
naive_bayes,0.4,0.6586666666666665,0.02867530536503103,0.6791885762798896,0.06383931372774698,0.7023647289567329,0.043799924119047526
lstm,0.4,0.3870967741935484,0.0,0.375,0.0,0.5357142857142857,0.0
logistic,0.5,0.6373333333333333,0.031097568608065368,0.6627100312054012,0.05137660060524863,0.6412883058608005,0.05311656879788006
random_forest,0.5,0.6359999999999999,0.03093241837727316,0.6693984658736625,0.052861462940103285,0.596752686535999,0.044262234605690454
naive_bayes,0.5,0.6333333333333334,0.02939273984431454,0.6543798832639397,0.056214345453179854,0.668293148776761,0.059555592076822705
lstm,0.5,0.45161290322580644,0.0,0.68,0.0,0.3953488372093023,0.0
logistic,0.6,0.5613333333333334,0.01751128347348899,0.600318963861406,0.04802305453035314,0.5516125377617188,0.051760821669055955
random_forest,0.6,0.556,0.026918601911854353,0.5842133210491042,0.0600482962279916,0.5931576493032655,0.04843023201654691
naive_bayes,0.6,0.56,0.024792256855720087,0.5959785989659584,0.05321720739483848,0.5782799433771777,0.0647949971068518
lstm,0.6,0.5161290322580645,0.0,0.5121951219512195,0.0,0.6774193548387096,0.0
logistic,0.7,0.46266666666666667,0.028158590873834575,0.5027953770042848,0.049512578699289704,0.427304862257966,0.06964565903867738
random_forest,0.7,0.48266666666666663,0.02528324029866424,0.5133767040321918,0.050599829942486726,0.4987217322470479,0.056124771749386515
naive_bayes,0.7,0.45999999999999996,0.02619858520353088,0.5010402879368396,0.0445145749110396,0.4804666769634484,0.0960527941168634
lstm,0.7,0.5806451612903226,0.0,0.5686274509803921,0.0,0.8787878787878788,0.0
logistic,0.8,0.4906666666666667,0.02809789110314944,0.5389098739113956,0.05327251299859293,0.48623122046382516,0.11898026498443424
random_forest,0.8,0.49066666666666664,0.03463036458241684,0.5178743529797057,0.05830619321506174,0.5113758866932548,0.10029933252879933
naive_bayes,0.8,0.4960000000000001,0.021802155245143395,0.5361107318977997,0.03694745318452794,0.48980801575190186,0.11335213474260938
lstm,0.8,0.6612903225806451,0.0,0.6363636363636364,0.0,0.7,0.0
logistic,0.9,0.41866666666666663,0.02484728968005252,0.44893723567716337,0.02365791233118465,0.4515290604504433,0.14654325210944333
random_forest,0.9,0.44266666666666676,0.022113186010965392,0.4687799855139273,0.02338446270606808,0.49493839916876475,0.12437167447505053
naive_bayes,0.9,0.44000000000000006,0.0233743639247978,0.4623413157224904,0.024007174277047297,0.41900294602521226,0.15438515237885886
lstm,0.9,0.5,0.0,0.4444444444444444,0.0,0.27586206896551724,0.0
