noise,lo_acc,lo_acc_se,lo_roc,lo_roc_se,rf_acc,rf_acc_se,rf_roc,rf_roc_se
0.0,0.7493333333333334,0.02148662260829075,0.845559184329266,0.019804675789355373,0.792,0.025658621769516606,0.8784444918423665,0.018186142316902354
0.1,0.728,0.020643679258633446,0.8267617961730901,0.019254063099042307,0.7653333333333333,0.025120645426952446,0.8587729240676083,0.020877605662036128
0.2,0.7053333333333334,0.021692240906728732,0.7831159025883162,0.022737640822338083,0.744,0.026599574265598898,0.8240608075568667,0.022633809829742085
0.3,0.6773333333333332,0.0302063351706963,0.7468757561934899,0.03785540856152804,0.6960000000000001,0.030206335170696298,0.7777510225726751,0.02275151413543861
0.4,0.6573333333333334,0.03526547849290198,0.7249491370188343,0.043791793405705624,0.6773333333333333,0.032176915396669774,0.7577441165941525,0.0366067212635198
0.5,0.5706666666666667,0.029520257752563363,0.6084851323717311,0.042755748885703805,0.5733333333333334,0.03157702681099381,0.6269285387316537,0.04066553167482228
0.6,0.5866666666666667,0.036399521364374486,0.6395290349860978,0.03418715352631927,0.6133333333333333,0.026650875324378275,0.6332041542833518,0.03612740705678905
0.7,0.5493333333333335,0.024178630050338074,0.5780845044438753,0.02583206566818154,0.56,0.024792256855720087,0.5728919698249436,0.02703675693380463
0.8,0.5373333333333334,0.030932418377273167,0.5782260540976989,0.03138527780635695,0.556,0.019573849221176016,0.5667604847069918,0.024329835537237547
0.9,0.5013333333333334,0.02372238848757763,0.5414749620596809,0.025601347126542058,0.5173333333333333,0.024737101599733857,0.5309235023321655,0.03143131095880805
